id,text,,Date,label,Comments
533312,Google Argues Case Against $9 Billion In Antitrust Fines,307078,2020/2/13,Y,
533313,British Ex-Bankers Sentenced For Their Roles in Enron Fraud,699620,2008/2/25,Y,
533314,Procter &amp; Gamble Co.: Gillette and Schick-Wilkinson Settle Most of Their Litigation,718378,2006/2/17,Y,
533315,Merck &amp; Co.: Vioxx Lawsuit Is Dropped By Widow in Pennsylvania,810805,2007/1/23,Y,
533316,Intel to Pay Intergraph in Settlement,602242,2004/3/31,Y,
533317,"Lax Controls Aided Fraud at Cendant, New Report Says",382120,1998/9/18,Y,
533318,Facebook's Privacy Penalty,243146,2019/7/25,Y,
533319,Expedia Inc. Increases Fraud-Related Reserves,423762,2000/3/2,Y,
533320,U.S. Settlement With Microsoft Is Opposed by Top Economists,502506,2002/1/28,Y,
533321,City News: Critics of Settlement With Exxon Lose Ruling,129122,2015/7/14,Y,
533322,"Cisco, Huawei Suspend Lawsuit",572503,2003/10/2,Y,
533323,Restaurants Brief -- McDonald's Corp.: Trans-Fats Lawsuit Concludes With $8.5 Million Settlement,757506,2005/2/14,Y,
533324,What's Bank of America's Real Agenda in Illegal Immigrant Offer?,755679,2007/3/8,,
533325,Moving the Market: Citigroup Begins Shake-Up of Team In Bond Scandal,668306,2005/2/4,Y,
533326,Pfizer Presentation Is Limited Due to a Disclosure Violation,649910,2006/11/13,Y,
533327,Apple Is Hit With Antitrust Charges In EU --- Case alleges company squeezed rival music apps by forcing use of its payments system,311365,2021/5/1,Y,
533328,Legal Charge Hits Qualcomm --- Cellphone-Chip Firm Posts Loss on Broadcom Settlement,822315,2009/4/28,Y,
533329,City News: Police Arrest Motorcyclist In SUV Chase,51129,2013/10/2,,
533330,Discrimination Suit Against Texaco Wins Status as Class Action,452571,2000/3/10,Y,
533331,UAL May Face Antitrust Bars To US Air Pact,430205,2000/12/20,Y,
533332,AMR Corp.: American Airlines Will Pay To Resolve Antitrust Concerns,621505,2004/8/9,Y,
533333,U.S. News -- Capital Account: Facebook's Monopoly Is Ripe for Regulation,230172,2018/4/12,Y,
533334,Countrywide Financial Corp.: Former Vice Presidents Plead Guilty to Insider Trading,752799,2007/6/27,Y,
533335,Health &amp; Technology: Microsoft Takes Steps to Address Antitrust Complaints in Europe,499457,2002/3/12,Y,
533336,Tesla Clashes With Car Dealers --- Electric-Vehicle Maker Wants to Sell Directly to Consumers; Critics Say Plan Violates Franchise Laws,53527,2013/6/18,Y,
533337,Business Brief -- General Mills Inc.: Gain of $34 Million Results From Litigation Settlement,524175,2001/6/1,Y,
533338,Google Calls Microsoft Lawsuit a Scare Tactic,647996,2005/7/28,Y,
533339,Microsoft on Trial -- The Antitrust Ruling: Legal Road May Provide Opening for Web Software,628723,2000/4/4,Y,
533340,MasterCard Aims At Online Fraud,165198,2016/9/21,Y,
533341,Microsoft Antitrust Ruling Is Expected to Be Delayed,434971,2000/3/29,Y,
533342,American Tower Corp.: Settlement Is Reached Over Stock-Option Suit,811665,2007/12/14,Y,
533343,iPhone Users Warned of ID Theft in China --- Payment companies say security breach led to loss of funds; Apple is urged to act,215536,2018/10/12,Y,
533344,Government Answers Microsoft's Challenge Of Antitrust Findings,430352,2000/1/27,Y,
533345,C-Suite Strategies (A Special Report) --- Hasbro's Plans to Revive Its Toy Business: The maker of Monopoly and Transformers action figures says part of the strategy is to win a bigger share of the preschool market,358191,2023/6/12,,
533346,Ford Seeks New Trial Of Truck Lawsuit,353538,2022/12/19,Y,
533347,Google Cuts Overstock Ranking --- Search Engine Demotes Retailer in Several Categories After Deciding It Violated Page-Link Policies,877161,2011/2/24,,
533348,Civil Fraud Lawsuit Against TRW Inc. Over Space Contracts Is Joined by U.S.,413912,1998/2/20,Y,
533349,Security Breach Hits Microsoft's Passport,562606,2001/11/5,Y,
